,addend,Rate.x.nM.hr,Rate.1.nM.hr,Rate.2.nM.hr,Rate.3.nM.hr,mean.Rate.nM.hr,sd.Rate.nM.hr,kcRate.x.nM.hr,kcRate.1.nM.hr,kcRate.2.nM.hr,kcRate.3.nM.hr,mean.kcRate.nM.hr,sd.kcRate.nM.hr
stn7-d0-ara-t1,change to zero,,,,,,,,,,,,
stn7-d0-ara-t2,change to zero,,,,,,,,,,,,
stn7-d0-ara-t3,change to zero,,,,,,,,,,,,
stn7-d0-chon-t0,,,,,,,,,,,,,
stn7-d0-chon-t1,,,,,,,,,,,,,
stn7-d0-chon-t2,,,,,,,,,,,,,
stn7-d0-chon-t3,,,,,,,,,,,,,
stn7-d0-fuc-t0,change to zero,,,,,,,,,,,,
stn7-d0-fuc-t1,change to zero,,,,,,,,,,,,
stn7-d0-fuc-t2,change to zero,,,,,,,,,,,,
stn7-d0-fuc-t3,change to zero,,,,,,,,,,,,
stn7-d0-lam-t0,,,,,,,,,,,,,
stn7-d0-lam-t1,,,,,,,,,,,,,
stn7-d0-lam-t2,,,,,,,,,,,,,
stn7-d0-lam-t3,,,,,,,,,,,,,
stn7-d0-pul-t0,,,,,,,,,,,,,
stn7-d0-pul-t1,x not dead,,,,,,,,,,,,
stn7-d0-pul-t2,x not dead,,,,,,,,,,,,
stn7-d0-pul-t3,x not dead,,,,,,,,,,,,
stn7-d0-xyl-t0,,,,,,,,,,,,,
stn7-d0-xyl-t1,,,,,,,,,,,,,
stn7-d0-xyl-t2,,,,,,,,,,,,,
stn7-d0-xyl-t3,,,,,,,,,,,,,
stn10-d0-ara-t0,change to zero,,,,,,,,,,,,
stn10-d0-ara-t1,change to zero,,,,,,,,,,,,
stn10-d0-ara-t2,change to zero,,,,,,,,,,,,
stn10-d0-ara-t3,change to zero,,,,,,,,,,,,
stn10-d0-chon-t0,change to zero,,,,,,,,,,,,
stn10-d0-chon-t1,change to zero,,,,,,,,,,,,
stn10-d0-chon-t2,change to zero,,,,,,,,,,,,
stn10-d0-chon-t3,change to zero,,,,,,,,,,,,
stn10-d0-fuc-t0,change to zero,,,,,,,,,,,,
stn10-d0-fuc-t1,change to zero,,,,,,,,,,,,
stn10-d0-fuc-t2,change to zero,,,,,,,,,,,,
stn10-d0-fuc-t3,change to zero,,,,,,,,,,,,
stn10-d0-lam-t0,,,,,,,,,,,,,
stn10-d0-lam-t1,,,,,,,,,,,,,
stn10-d0-lam-t2,,,,,,,,,,,,,
stn10-d0-lam-t3,,,,,,,,,,,,,
stn10-d0-pul-t0,,,,,,,,,,,,,
stn10-d0-pul-t1,,,,,,,,,,,,,
stn10-d0-pul-t2,,,,,,,,,,,,,
stn10-d0-pul-t3,,,,,,,,,,,,,
stn10-d0-xyl-t0,ignore FLA,,,,,,,,,,,,
stn10-d0-xyl-t1,ignore FLA,,,,,,,,,,,,
stn10-d0-xyl-t2,ignore FLA,,,,,,,,,,,,
stn10-d0-xyl-t3,ignore FLA,,,,,,,,,,,,
stn15-d0-ara-t0,,,,,,,,,,,,,
stn15-d0-ara-t1,,,,,,,,,,,,,
stn15-d0-ara-t2,,,,,,,,,,,,,
stn15-d0-ara-t3,,,,,,,,,,,,,
stn15-d0-chon-t0,,,,,,,,,,,,,
stn15-d0-chon-t1,,,,,,,,,,,,,
stn15-d0-chon-t2,,,,,,,,,,,,,
stn15-d0-chon-t3,,,,,,,,,,,,,
stn15-d0-fuc-t0,change to zero,,,,,,,,,,,,
stn15-d0-fuc-t1,change to zero,,,,,,,,,,,,
stn15-d0-fuc-t2,change to zero,,,,,,,,,,,,
stn15-d0-fuc-t3,change to zero,,,,,,,,,,,,
stn15-d0-lam-t0,,,,,,,,,,,,,
stn15-d0-lam-t1,,,,,,,,,,,,,
stn15-d0-lam-t2,,,,,,,,,,,,,
stn15-d0-lam-t3,,,,,,,,,,,,,
stn15-d0-pul-t0,,,,,,,,,,,,,
stn15-d0-pul-t1,,,,,,,,,,,,,
stn15-d0-pul-t2,,,,,,,,,,,,,
stn15-d0-pul-t3,,,,,,,,,,,,,
stn15-d0-xyl-t0,,,,,,,,,,,,,
stn15-d0-xyl-t1,,,,,,,,,,,,,
stn15-d0-xyl-t2,,,,,,,,,,,,,
stn15-d0-xyl-t3,,,,,,,,,,,,,
stn18-d0-ara-t0,change to zero,,,,,,,,,,,,
stn18-d0-ara-t1,change to zero,,,,,,,,,,,,
stn18-d0-ara-t2,change to zero,,,,,,,,,,,,
stn18-d0-chon-t0,change to zero,,,,,,,,,,,,
stn18-d0-chon-t1,change to zero,,,,,,,,,,,,
stn18-d0-chon-t2,change to zero,,,,,,,,,,,,
stn18-d0-fuc-t0,change to zero,,,,,,,,,,,,
stn18-d0-fuc-t1,change to zero,,,,,,,,,,,,
stn18-d0-fuc-t2,change to zero,,,,,,,,,,,,
stn18-d0-lam-t0,,,,,,,,,,,,,
stn18-d0-lam-t1,,,,,,,,,,,,,
stn18-d0-lam-t2,,,,,,,,,,,,,
stn18-d0-pul-t0,,,,,,,,,,,,,
stn18-d0-pul-t1,,,,,,,,,,,,,
stn18-d0-pul-t2,,,,,,,,,,,,,
stn18-d0-xyl-t0,change to zero,,,,,,,,,,,,
stn18-d0-xyl-t1,change to zero,,,,,,,,,,,,
stn18-d0-xyl-t2,change to zero,,,,,,,,,,,,
stn2-d1-ara-t0,change to zero,,,,,,,,,,,,
stn2-d1-ara-t1,change to zero,,,,,,,,,,,,
stn2-d1-ara-t2,change to zero,,,,,,,,,,,,
stn2-d1-ara-t3,change to zero,,,,,,,,,,,,
stn2-d1-chon-t0,,,,,,,,,,,,,
stn2-d1-chon-t1,,,,,,,,,,,,,
stn2-d1-chon-t2,,,,,,,,,,,,,
stn2-d1-chon-t3,,,,,,,,,,,,,
stn2-d1-fuc-t0,,,,,,,,,,,,,
stn2-d1-fuc-t1,,,,,,,,,,,,,
stn2-d1-fuc-t2,,,,,,,,,,,,,
stn2-d1-fuc-t3,,,,,,,,,,,,,
stn2-d1-lam-t0,,,,,,,,,,,,,
stn2-d1-lam-t1,,,,,,,,,,,,,
stn2-d1-lam-t2,,,,,,,,,,,,,
stn2-d1-lam-t3,,,,,,,,,,,,,
stn2-d1-pul-t0,ignore FLA,,,,,,,,,,,,
stn2-d1-pul-t1,ignore FLA,,,,,,,,,,,,
stn2-d1-pul-t2,ignore FLA,,,,,,,,,,,,
stn2-d1-pul-t3,ignore FLA,,,,,,,,,,,,
stn2-d1-xyl-t0,change to zero,,,,,,,,,,,,
stn2-d1-xyl-t1,change to zero,,,,,,,,,,,,
stn2-d1-xyl-t2,change to zero,,,,,,,,,,,,
stn2-d1-xyl-t3,change to zero,,,,,,,,,,,,
stn4-d1-ara-t0,change to zero,,,,,,,,,,,,
stn4-d1-ara-t1,change to zero,,,,,,,,,,,,
stn4-d1-ara-t2,change to zero,,,,,,,,,,,,
stn4-d1-ara-t3,change to zero,,,,,,,,,,,,
stn4-d1-chon-t0,,,,,,,,,,,,,
stn4-d1-chon-t1,,,,,,,,,,,,,
stn4-d1-chon-t2,,,,,,,,,,,,,
stn4-d1-chon-t3,,,,,,,,,,,,,
stn4-d1-fuc-t0,change to zero,,,,,,,,,,,,
stn4-d1-fuc-t1,change to zero,,,,,,,,,,,,
stn4-d1-fuc-t2,change to zero,,,,,,,,,,,,
stn4-d1-fuc-t3,change to zero,,,,,,,,,,,,
stn4-d1-lam-t0,,,,,,,,,,,,,
stn4-d1-lam-t1,,,,,,,,,,,,,
stn4-d1-lam-t2,,,,,,,,,,,,,
stn4-d1-lam-t3,,,,,,,,,,,,,
stn4-d1-pul-t0,ignore FLA,,,,,,,,,,,,
stn4-d1-pul-t1,ignore FLA,,,,,,,,,,,,
stn4-d1-pul-t2,ignore FLA,,,,,,,,,,,,
stn4-d1-pul-t3,ignore FLA,,,,,,,,,,,,
stn4-d1-xyl-t0,,,,,,,,,,,,,
stn4-d1-xyl-t1,,,,,,,,,,,,,
stn4-d1-xyl-t2,,,,,,,,,,,,,
stn4-d1-xyl-t3,,,,,,,,,,,,,
stn7-d1-ara-t0,change to zero,,,,,,,,,,,,
stn7-d1-ara-t1,change to zero,,,,,,,,,,,,
stn7-d1-ara-t2,change to zero,,,,,,,,,,,,
stn7-d1-ara-t3,change to zero,,,,,,,,,,,,
stn7-d1-chon-t0,,,,,,,,,,,,,
stn7-d1-chon-t1,,,,,,,,,,,,,
stn7-d1-chon-t2,,,,,,,,,,,,,
stn7-d1-chon-t3,,,,,,,,,,,,,
stn7-d1-fuc-t0,change to zero,,,,,,,,,,,,
stn7-d1-fuc-t1,change to zero,,,,,,,,,,,,
stn7-d1-fuc-t2,change to zero,,,,,,,,,,,,
stn7-d1-fuc-t3,change to zero,,,,,,,,,,,,
stn7-d1-lam-t0,,,,,,,,,,,,,
stn7-d1-lam-t1,,,,,,,,,,,,,
stn7-d1-lam-t2,,,,,,,,,,,,,
stn7-d1-lam-t3,,,,,,,,,,,,,
stn7-d1-pul-t0,,,,,,,,,,,,,
stn7-d1-pul-t1,x not dead,,,,,,,,,,,,
stn7-d1-pul-t2,x not dead,,,,,,,,,,,,
stn7-d1-pul-t3,x not dead,,,,,,,,,,,,
stn7-d1-xyl-t0,,,,,,,,,,,,,
stn7-d1-xyl-t1,,,,,,,,,,,,,
stn7-d1-xyl-t2,,,,,,,,,,,,,
stn7-d1-xyl-t3,,,,,,,,,,,,,
stn10-d1-ara-t0,change to zero,,,,,,,,,,,,
stn10-d1-ara-t1,change to zero,,,,,,,,,,,,
stn10-d1-ara-t2,change to zero,,,,,,,,,,,,
stn10-d1-ara-t3,change to zero,,,,,,,,,,,,
stn10-d1-chon-t0,change to zero,,,,,,,,,,,,
stn10-d1-chon-t1,change to zero,,,,,,,,,,,,
stn10-d1-chon-t2,change to zero,,,,,,,,,,,,
stn10-d1-chon-t3,change to zero,,,,,,,,,,,,
stn10-d1-fuc-t0,change to zero,,,,,,,,,,,,
stn10-d1-fuc-t1,change to zero,,,,,,,,,,,,
stn10-d1-fuc-t2,change to zero,,,,,,,,,,,,
stn10-d1-fuc-t3,change to zero,,,,,,,,,,,,
stn10-d1-lam-t0,,,,,,,,,,,,,
stn10-d1-lam-t1,,,,,,,,,,,,,
stn10-d1-lam-t2,,,,,,,,,,,,,
stn10-d1-lam-t3,x not dead,,,,,,,,,,,,
stn10-d1-pul-t0,,,,,,,,,,,,,
stn10-d1-pul-t1,,,,,,,,,,,,,
stn10-d1-pul-t2,,,,,,,,,,,,,
stn10-d1-pul-t3,x not dead,,,,,,,,,,,,
stn10-d1-xyl-t0,,,,,,,,,,,,,
stn10-d1-xyl-t1,,,,,,,,,,,,,
stn10-d1-xyl-t2,x not dead,,,,,,,,,,,,
stn10-d1-xyl-t3,x not dead,,,,,,,,,,,,
stn15-d1-ara-t0,change to zero,,,,,,,,,,,,
stn15-d1-ara-t1,change to zero,,,,,,,,,,,,
stn15-d1-ara-t2,change to zero,,,,,,,,,,,,
stn15-d1-ara-t3,change to zero,,,,,,,,,,,,
stn15-d1-chon-t0,,,,,,,,,,,,,
stn15-d1-chon-t1,,,,,,,,,,,,,
stn15-d1-chon-t2,,,,,,,,,,,,,
stn15-d1-chon-t3,,,,,,,,,,,,,
stn15-d1-fuc-t0,change to zero,,,,,,,,,,,,
stn15-d1-fuc-t1,change to zero,,,,,,,,,,,,
stn15-d1-fuc-t2,change to zero,,,,,,,,,,,,
stn15-d1-fuc-t3,change to zero,,,,,,,,,,,,
stn15-d1-lam-t0,,,,,,,,,,,,,
stn15-d1-lam-t1,,,,,,,,,,,,,
stn15-d1-lam-t2,,,,,,,,,,,,,
stn15-d1-lam-t3,,,,,,,,,,,,,
stn15-d1-pul-t0,,,,,,,,,,,,,
stn15-d1-pul-t1,,,,,,,,,,,,,
stn15-d1-pul-t2,,,,,,,,,,,,,
stn15-d1-pul-t3,,,,,,,,,,,,,
stn15-d1-xyl-t0,,,,,,,,,,,,,
stn15-d1-xyl-t1,,,,,,,,,,,,,
stn15-d1-xyl-t2,,,,,,,,,,,,,
stn15-d1-xyl-t3,,,,,,,,,,,,,
stn18-d1-ara-t0,change to zero,,,,,,,,,,,,
stn18-d1-ara-t1,change to zero,,,,,,,,,,,,
stn18-d1-ara-t2,change to zero,,,,,,,,,,,,
stn18-d1-chon-t0,change to zero,,,,,,,,,,,,
stn18-d1-chon-t1,change to zero,,,,,,,,,,,,
stn18-d1-chon-t2,change to zero,,,,,,,,,,,,
stn18-d1-fuc-t0,change to zero,,,,,,,,,,,,
stn18-d1-fuc-t1,change to zero,,,,,,,,,,,,
stn18-d1-fuc-t2,change to zero,,,,,,,,,,,,
stn18-d1-lam-t0,,,,,,,,,,,,,
stn18-d1-lam-t1,,,,,,,,,,,,,
stn18-d1-lam-t2,,,,,,,,,,,,,
stn18-d1-pul-t0,,,,,,,,,,,,,
stn18-d1-pul-t1,,,,,,,,,,,,,
stn18-d1-pul-t2,,,,,,,,,,,,,
stn18-d1-xyl-t0,,,,,,,,,,,,,
stn18-d1-xyl-t1,,,,,,,,,,,,,
stn18-d1-xyl-t2,,,,,,,,,,,,,
stn2-d2-ara-t0,change to zero,,,,,,,,,,,,
stn2-d2-ara-t1,change to zero,,,,,,,,,,,,
stn2-d2-ara-t2,change to zero,,,,,,,,,,,,
stn2-d2-ara-t3,change to zero,,,,,,,,,,,,
stn2-d2-chon-t0,,,,,,,,,,,,,
stn2-d2-chon-t1,,,,,,,,,,,,,
stn2-d2-chon-t2,,,,,,,,,,,,,
stn2-d2-chon-t3,,,,,,,,,,,,,
stn2-d2-fuc-t0,change to zero,,,,,,,,,,,,
stn2-d2-fuc-t1,change to zero,,,,,,,,,,,,
stn2-d2-fuc-t2,change to zero,,,,,,,,,,,,
stn2-d2-fuc-t3,change to zero,,,,,,,,,,,,
stn2-d2-lam-t0,,,,,,,,,,,,,
stn2-d2-lam-t1,,,,,,,,,,,,,
stn2-d2-lam-t2,,,,,,,,,,,,,
stn2-d2-lam-t3,,,,,,,,,,,,,
stn2-d2-pul-t0,,,,,,,,,,,,,
stn2-d2-pul-t1,,,,,,,,,,,,,
stn2-d2-pul-t2,,,,,,,,,,,,,
stn2-d2-pul-t3,,,,,,,,,,,,,
stn2-d2-xyl-t0,change to zero,,,,,,,,,,,,
stn2-d2-xyl-t1,change to zero,,,,,,,,,,,,
stn2-d2-xyl-t2,change to zero,,,,,,,,,,,,
stn2-d2-xyl-t3,change to zero,,,,,,,,,,,,
stn4-d2-ara-t0,change to zero,,,,,,,,,,,,
stn4-d2-ara-t1,change to zero,,,,,,,,,,,,
stn4-d2-ara-t2,change to zero,,,,,,,,,,,,
stn4-d2-ara-t3,change to zero,,,,,,,,,,,,
stn4-d2-chon-t0,,,,,,,,,,,,,
stn4-d2-chon-t1,,,,,,,,,,,,,
stn4-d2-chon-t2,,,,,,,,,,,,,
stn4-d2-chon-t3,,,,,,,,,,,,,
stn4-d2-fuc-t0,change to zero,,,,,,,,,,,,
stn4-d2-fuc-t1,change to zero,,,,,,,,,,,,
stn4-d2-fuc-t2,change to zero,,,,,,,,,,,,
stn4-d2-fuc-t3,change to zero,,,,,,,,,,,,
stn4-d2-lam-t0,,,,,,,,,,,,,
stn4-d2-lam-t1,,,,,,,,,,,,,
stn4-d2-lam-t2,,,,,,,,,,,,,
stn4-d2-lam-t3,,,,,,,,,,,,,
stn4-d2-pul-t0,ignore FLA,,,,,,,,,,,,
stn4-d2-pul-t1,ignore FLA,,,,,,,,,,,,
stn4-d2-pul-t2,ignore FLA,,,,,,,,,,,,
stn4-d2-pul-t3,ignore FLA,,,,,,,,,,,,
stn4-d2-xyl-t0,,,,,,,,,,,,,
stn4-d2-xyl-t1,weird rep,,,,,,,,,,,,
stn4-d2-xyl-t2,,,,,,,,,,,,,
stn4-d2-xyl-t3,,,,,,,,,,,,,
stn7-d2-ara-t0,change to zero,,,,,,,,,,,,
stn7-d2-ara-t1,change to zero,,,,,,,,,,,,
stn7-d2-ara-t2,change to zero,,,,,,,,,,,,
stn7-d2-ara-t3,change to zero,,,,,,,,,,,,
stn7-d2-chon-t0,change to zero,,,,,,,,,,,,
stn7-d2-chon-t1,change to zero,,,,,,,,,,,,
stn7-d2-chon-t2,change to zero,,,,,,,,,,,,
stn7-d2-chon-t3,change to zero,,,,,,,,,,,,
stn7-d2-fuc-t0,change to zero,,,,,,,,,,,,
stn7-d2-fuc-t1,change to zero,,,,,,,,,,,,
stn7-d2-fuc-t2,change to zero,,,,,,,,,,,,
stn7-d2-fuc-t3,change to zero,,,,,,,,,,,,
stn7-d2-lam-t0,,,,,,,,,,,,,
stn7-d2-lam-t1,,,,,,,,,,,,,
stn7-d2-lam-t2,,,,,,,,,,,,,
stn7-d2-lam-t3,,,,,,,,,,,,,
stn7-d2-pul-t0,,,,,,,,,,,,,
stn7-d2-pul-t1,,,,,,,,,,,,,
stn7-d2-pul-t2,,,,,,,,,,,,,
stn7-d2-pul-t3,x not dead,,,,,,,,,,,,
stn7-d2-xyl-t0,,,,,,,,,,,,,
stn7-d2-xyl-t1,,,,,,,,,,,,,
stn7-d2-xyl-t2,,,,,,,,,,,,,
stn7-d2-xyl-t3,,,,,,,,,,,,,
stn10-d2-ara-t0,change to zero,,,,,,,,,,,,
stn10-d2-ara-t1,change to zero,,,,,,,,,,,,
stn10-d2-ara-t2,change to zero,,,,,,,,,,,,
stn10-d2-ara-t3,change to zero,,,,,,,,,,,,
stn10-d2-chon-t0,change to zero,,,,,,,,,,,,
stn10-d2-chon-t1,change to zero,,,,,,,,,,,,
stn10-d2-chon-t2,change to zero,,,,,,,,,,,,
stn10-d2-chon-t3,change to zero,,,,,,,,,,,,
stn10-d2-fuc-t0,change to zero,,,,,,,,,,,,
stn10-d2-fuc-t1,change to zero,,,,,,,,,,,,
stn10-d2-fuc-t2,change to zero,,,,,,,,,,,,
stn10-d2-fuc-t3,change to zero,,,,,,,,,,,,
stn10-d2-lam-t0,,,,,,,,,,,,,
stn10-d2-lam-t1,,,,,,,,,,,,,
stn10-d2-lam-t2,,,,,,,,,,,,,
stn10-d2-lam-t3,x not dead,,,,,,,,,,,,
stn10-d2-pul-t0,change to zero,,,,,,,,,,,,
stn10-d2-pul-t1,change to zero,,,,,,,,,,,,
stn10-d2-pul-t2,change to zero,,,,,,,,,,,,
stn10-d2-pul-t3,change to zero,,,,,,,,,,,,
stn10-d2-xyl-t0,,,,,,,,,,,,,
stn10-d2-xyl-t1,,,,,,,,,,,,,
stn10-d2-xyl-t2,,,,,,,,,,,,,
stn10-d2-xyl-t3,,,,,,,,,,,,,
stn15-d2-ara-t0,change to zero,,,,,,,,,,,,
stn15-d2-ara-t1,change to zero,,,,,,,,,,,,
stn15-d2-ara-t2,change to zero,,,,,,,,,,,,
stn15-d2-ara-t3,change to zero,,,,,,,,,,,,
stn15-d2-chon-t0,change to zero,,,,,,,,,,,,
stn15-d2-chon-t1,change to zero,,,,,,,,,,,,
stn15-d2-chon-t2,change to zero,,,,,,,,,,,,
stn15-d2-chon-t3,change to zero,,,,,,,,,,,,
stn15-d2-fuc-t0,change to zero,,,,,,,,,,,,
stn15-d2-fuc-t1,change to zero,,,,,,,,,,,,
stn15-d2-fuc-t2,change to zero,,,,,,,,,,,,
stn15-d2-fuc-t3,change to zero,,,,,,,,,,,,
stn15-d2-lam-t0,,,,,,,,,,,,,
stn15-d2-lam-t1,,,,,,,,,,,,,
stn15-d2-lam-t2,,,,,,,,,,,,,
stn15-d2-lam-t3,,,,,,,,,,,,,
stn15-d2-pul-t0,change to zero,,,,,,,,,,,,
stn15-d2-pul-t1,change to zero,,,,,,,,,,,,
stn15-d2-pul-t2,change to zero,,,,,,,,,,,,
stn15-d2-pul-t3,change to zero,,,,,,,,,,,,
stn15-d2-xyl-t0,no data,,,,,,,,,,,,
stn15-d2-xyl-t1,no data,,,,,,,,,,,,
stn15-d2-xyl-t2,no data,,,,,,,,,,,,
stn15-d2-xyl-t3,no data,,,,,,,,,,,,
stn18-d2-ara-t0,change to zero,,,,,,,,,,,,
stn18-d2-ara-t1,change to zero,,,,,,,,,,,,
stn18-d2-ara-t2,change to zero,,,,,,,,,,,,
stn18-d2-chon-t0,change to zero,,,,,,,,,,,,
stn18-d2-chon-t1,change to zero,,,,,,,,,,,,
stn18-d2-chon-t2,change to zero,,,,,,,,,,,,
stn18-d2-fuc-t0,change to zero,,,,,,,,,,,,
stn18-d2-fuc-t1,change to zero,,,,,,,,,,,,
stn18-d2-fuc-t2,change to zero,,,,,,,,,,,,
stn18-d2-lam-t0,,,,,,,,,,,,,
stn18-d2-lam-t1,,,,,,,,,,,,,
stn18-d2-lam-t2,,,,,,,,,,,,,
stn18-d2-pul-t0,change to zero,,,,,,,,,,,,
stn18-d2-pul-t1,change to zero,,,,,,,,,,,,
stn18-d2-pul-t2,change to zero,,,,,,,,,,,,
stn18-d2-xyl-t0,change to zero,,,,,,,,,,,,
stn18-d2-xyl-t1,change to zero,,,,,,,,,,,,
stn18-d2-xyl-t2,change to zero,,,,,,,,,,,,
stn2-d3-ara-t0,change to zero,,,,,,,,,,,,
stn2-d3-ara-t1,change to zero,,,,,,,,,,,,
stn2-d3-ara-t2,change to zero,,,,,,,,,,,,
stn2-d3-ara-t3,change to zero,,,,,,,,,,,,
stn2-d3-chon-t0,,,,,,,,,,,,,
stn2-d3-chon-t1,,,,,,,,,,,,,
stn2-d3-chon-t2,,,,,,,,,,,,,
stn2-d3-chon-t3,,,,,,,,,,,,,
stn2-d3-fuc-t0,,,,,,,,,,,,,
stn2-d3-fuc-t1,,,,,,,,,,,,,
stn2-d3-fuc-t2,,,,,,,,,,,,,
stn2-d3-fuc-t3,,,,,,,,,,,,,
stn2-d3-lam-t0,,,,,,,,,,,,,
stn2-d3-lam-t1,,,,,,,,,,,,,
stn2-d3-lam-t2,,,,,,,,,,,,,
stn2-d3-lam-t3,,,,,,,,,,,,,
stn2-d3-pul-t0,change to zero,,,,,,,,,,,,
stn2-d3-pul-t1,change to zero,,,,,,,,,,,,
stn2-d3-pul-t2,change to zero,,,,,,,,,,,,
stn2-d3-pul-t3,change to zero,,,,,,,,,,,,
stn2-d3-xyl-t0,change to zero,,,,,,,,,,,,
stn2-d3-xyl-t1,change to zero,,,,,,,,,,,,
stn2-d3-xyl-t2,change to zero,,,,,,,,,,,,
stn2-d3-xyl-t3,change to zero,,,,,,,,,,,,
stn4-d3-ara-t0,change to zero,,,,,,,,,,,,
stn4-d3-ara-t1,change to zero,,,,,,,,,,,,
stn4-d3-ara-t2,change to zero,,,,,,,,,,,,
stn4-d3-ara-t3,change to zero,,,,,,,,,,,,
stn4-d3-chon-t0,,,,,,,,,,,,,
stn4-d3-chon-t1,,,,,,,,,,,,,
stn4-d3-chon-t2,,,,,,,,,,,,,
stn4-d3-chon-t3,,,,,,,,,,,,,
stn4-d3-fuc-t0,,,,,,,,,,,,,
stn4-d3-fuc-t1,,,,,,,,,,,,,
stn4-d3-fuc-t2,,,,,,,,,,,,,
stn4-d3-fuc-t3,,,,,,,,,,,,,
stn4-d3-lam-t0,,,,,,,,,,,,,
stn4-d3-lam-t1,,,,,,,,,,,,,
stn4-d3-lam-t2,,,,,,,,,,,,,
stn4-d3-lam-t3,,,,,,,,,,,,,
stn4-d3-pul-t0,change to zero,,,,,,,,,,,,
stn4-d3-pul-t1,change to zero,,,,,,,,,,,,
stn4-d3-pul-t2,change to zero,,,,,,,,,,,,
stn4-d3-pul-t3,change to zero,,,,,,,,,,,,
stn4-d3-xyl-t0,change to zero,,,,,,,,,,,,
stn4-d3-xyl-t1,change to zero,,,,,,,,,,,,
stn4-d3-xyl-t2,change to zero,,,,,,,,,,,,
stn4-d3-xyl-t3,change to zero,,,,,,,,,,,,
stn7-d3-ara-t0,change to zero,,,,,,,,,,,,
stn7-d3-ara-t1,change to zero,,,,,,,,,,,,
stn7-d3-ara-t2,change to zero,,,,,,,,,,,,
stn7-d3-ara-t3,change to zero,,,,,,,,,,,,
stn7-d3-chon-t0,change to zero,,,,,,,,,,,,
stn7-d3-chon-t1,change to zero,,,,,,,,,,,,
stn7-d3-chon-t2,change to zero,,,,,,,,,,,,
stn7-d3-chon-t3,change to zero,,,,,,,,,,,,
stn7-d3-fuc-t0,change to zero,,,,,,,,,,,,
stn7-d3-fuc-t1,change to zero,,,,,,,,,,,,
stn7-d3-fuc-t2,change to zero,,,,,,,,,,,,
stn7-d3-fuc-t3,change to zero,,,,,,,,,,,,
stn7-d3-lam-t0,,,,,,,,,,,,,
stn7-d3-lam-t1,,,,,,,,,,,,,
stn7-d3-lam-t2,,,,,,,,,,,,,
stn7-d3-lam-t3,,,,,,,,,,,,,
stn7-d3-pul-t0,change to zero,,,,,,,,,,,,
